0.2	-1.97437	2.25066	0.08711	6.48718	359.54886	1.47864	-1.974	2.25	0.087	-0.201	-0.02	0.979	2.984	0	0	

0.4	-1.97549	2.25047	0.08752	6.55033	358.94318	1.52261	-1.974	2.25	0.087	-0.201	-0.02	0.979	2.984	0	0	

0.6	-1.98199	2.25044	0.08629	6.77246	354.62784	1.13748	-1.976	2.25	0.087	-0.391	-0.001	0.92	2.855	0	0	

0.8	-1.99055	2.2499	0.0828	7.07556	349.10565	0.94848	-1.96	2.249	0.088	-0.545	0.05	0.837	3.038	0	0	

1	-1.99806	2.25046	0.07796	6.80355	345.32504	1.5139	-1.999	2.249	0.08	-0.524	0.054	0.85	2.944	0	0	

1.2	-2.00053	2.25094	0.07466	6.72003	345.0531	2.31683	-1.997	2.25	0.077	-0.526	0.034	0.85	2.762	0	0	

1.4	-2.00404	2.25222	0.06793	6.29135	343.61328	3.59384	-2.007	2.25	0.071	-0.667	0.029	0.745	3.099	0	0	

1.6	-2.0079	2.25368	0.06279	5.55959	342.20825	4.86039	-2.009	2.252	0.065	-0.677	0.035	0.735	3.1	0	0	

1.8	-2.00751	2.25505	0.05944	5.12198	342.25641	5.46996	-2.013	2.253	0.06	-0.652	0.028	0.758	2.976	0	0	

2	-2.00759	2.25459	0.05902	5.30532	341.92575	5.26537	-2.015	2.253	0.058	-0.73	0.032	0.683	3.11	0	0	

2.2	-2.00823	2.25446	0.05755	5.24048	341.58057	5.5475	-2.035	2.25	0.053	-0.608	0.063	0.791	3.036	0	0	

2.4	-2.00844	2.25504	0.05684	5.06407	341.55643	5.62845	-2.032	2.252	0.051	-0.502	0.036	0.864	2.974	0	0	

2.6	-2.00958	2.2544	0.05743	5.36888	341.35452	5.71113	-2.023	2.252	0.053	-0.421	0.039	0.906	2.897	0	0	

2.8	-2.01025	2.25429	0.05643	5.34185	341.30103	5.89984	-2.029	2.251	0.052	-0.612	-0.004	0.79	3.011	0	0	

3	-2.0106	2.25407	0.05577	5.4183	341.05054	5.9188	-2.008	2.253	0.057	-0.621	-0.003	0.784	3.032	0	0	

3.2	-2.01055	2.25499	0.05456	5.02895	341.55994	6.33962	-2.017	2.253	0.053	-0.486	-0.006	0.874	2.862	0	0	

3.4	-2.01044	2.25526	0.05384	4.80386	342.09366	6.46185	-2.022	2.252	0.051	-0.672	-0.067	0.738	3.004	0	0	

3.6	-2.01123	2.25461	0.05365	4.85631	342.09265	6.68067	-2.008	2.254	0.054	-0.672	-0.075	0.736	3.014	0	0	

3.8	-2.01311	2.25493	0.05402	4.97565	341.79568	6.96104	-2.02	2.252	0.053	-0.746	-0.068	0.663	3.072	0	0	

4	-2.01857	2.25426	0.05374	5.15725	338.26166	6.45945	-1.988	2.256	0.065	-0.745	-0.06	0.665	2.89	0	0	

4.2	-2.01841	2.25336	0.05418	5.56568	338.7467	6.61677	-2.022	2.252	0.054	-0.614	-0.052	0.787	3.021	0	0	

4.4	-2.0194	2.25313	0.05282	5.61402	338.49307	6.87911	-2.01	2.253	0.057	-0.558	-0.058	0.828	2.795	0	0	

4.6	-2.02014	2.25261	0.05218	5.72781	338.23831	6.80963	-2.02	2.251	0.053	-0.539	-0.057	0.841	2.865	0	0	

4.8	-2.02077	2.25272	0.05221	5.77057	338.51904	6.88757	-2.024	2.251	0.051	-0.409	-0.057	0.911	2.699	0	0	

5	-2.0218	2.25267	0.05219	5.87675	338.38916	7.0699	-2.021	2.252	0.052	-0.404	-0.049	0.913	2.711	0	0	

5.2	-2.02228	2.25274	0.05145	5.93082	338.13962	7.17802	-1.992	2.255	0.062	-0.551	-0.075	0.831	2.741	0	0	

5.4	-2.02284	2.25254	0.05055	5.9651	337.91574	7.28587	-2.02	2.252	0.052	-0.569	-0.069	0.82	2.73	0	0	

5.6	-2.02338	2.25265	0.05042	5.89731	337.91071	7.35919	-2.022	2.252	0.052	-0.55	-0.04	0.834	2.719	0	0	

5.8	-2.02423	2.25225	0.05074	6.04308	337.8237	7.44922	-2.022	2.251	0.052	-0.677	-0.065	0.733	2.774	0	0	

6	-2.02466	2.25262	0.05058	5.91033	337.83524	7.47763	-2.029	2.251	0.049	-0.63	-0.068	0.774	2.735	0	0	

6.2	-2.02492	2.25214	0.05098	6.04658	337.83923	7.48583	-2.023	2.251	0.052	-0.507	-0.063	0.86	2.924	0	0	

6.4	-2.02431	2.25192	0.05155	6.14158	338.17413	7.35274	-2.031	2.25	0.048	-0.375	-0.062	0.925	2.785	0	0	

6.6	-2.02354	2.25168	0.05275	6.30804	338.80347	7.12488	-2.012	2.252	0.057	-0.534	-0.117	0.838	2.914	0	0	

6.8	-2.02326	2.25129	0.05363	6.55113	338.94742	7.03833	-2.02	2.25	0.055	-0.546	-0.104	0.831	2.856	0	0	

7	-2.02207	2.25121	0.05478	6.5725	339.47974	6.87176	-2.019	2.251	0.055	-0.455	-0.103	0.884	2.855	0	0	

7.2	-2.01254	2.25101	0.05973	6.75394	344.54077	5.68214	-2.031	2.248	0.053	-0.347	-0.065	0.936	2.79	0	0	

7.4	-2.00071	2.2508	0.06415	7.00091	350.06799	4.65318	-2.021	2.248	0.06	-0.133	-0.031	0.991	2.914	0	0	

7.6	-1.99166	2.25061	0.06782	7.04028	353.5192	3.91964	-2.003	2.25	0.065	-0.122	-0.029	0.992	2.843	0	0	

7.8	-1.9883	2.25339	0.07026	5.44184	353.31503	2.59039	-1.954	2.253	0.073	-0.121	-0.077	0.99	2.541	0	0	

8	-1.98696	2.25626	0.07085	3.96844	354.31183	2.42082	-1.985	2.256	0.07	-0.11	-0.022	0.994	2.84	0	0	

8.2	-1.98724	2.25902	0.07097	2.55975	354.50998	1.34831	-1.985	2.256	0.07	-0.11	-0.022	0.994	2.84	0	0	

8.4	-1.98664	2.26156	0.06757	1.62213	355.00311	0.98821	-1.95	2.261	0.069	-0.1	-0.038	0.994	2.733	8.3	8.26	

8.6	-1.98521	2.26188	0.06341	1.27629	355.71695	0.95914	-2.003	2.261	0.063	-0.001	-0.02	1	3.063	8.3	8.26	

8.8	-1.98108	2.25943	0.06043	2.50849	357.4404	0.85349	-1.961	2.259	0.064	0.391	-0.013	0.92	2.977	8.3	8.26	

9	-1.97783	2.25552	0.06071	4.87245	358.64609	1.18047	-1.957	2.256	0.062	0.378	-0.004	0.926	3.026	8.3	8.26	

9.2	-1.97152	2.24795	0.0653	9.06934	2.08506	1.29236	-2.007	2.248	0.065	0.511	-0.109	0.852	2.888	8.3	8.26	

9.4	-1.96589	2.24532	0.06782	10.73998	5.27271	1.78637	-1.976	2.244	0.068	0.55	-0.086	0.83	2.905	8.3	8.26	

9.6	-1.96086	2.24416	0.06832	11.40921	8.73178	2.2914	-1.985	2.242	0.072	0.597	-0.132	0.791	3.07	8.3	8.26	

9.8	-1.95822	2.24332	0.06592	11.89473	10.55493	2.49268	-1.951	2.242	0.066	0.627	-0.092	0.774	3.194	8.3	8.26	

10	-1.95929	2.24556	0.0643	10.53227	9.69873	2.18472	-1.944	2.244	0.062	0.626	-0.088	0.775	3.203	8.3	8.26	

10.2	-1.96155	2.24591	0.06481	10.42196	8.77079	2.21402	-1.944	2.244	0.062	0.626	-0.088	0.775	3.203	10.2	10.2	

10.4	-1.96506	2.24783	0.06713	9.72608	7.68055	2.62847	-1.992	2.245	0.072	-0.073	0.011	0.997	3.344	10.26	10.26	

10.6	-1.9687	2.25197	0.0697	7.66951	6.465	2.45927	-1.961	2.25	0.068	-0.087	0.005	0.996	3.468	10.26	10.26	

10.8	-1.97072	2.25606	0.07259	5.55034	4.82047	2.0128	-1.97	2.254	0.072	-0.107	-0.015	0.994	3.426	10.26	10.26	

11	-1.96976	2.25534	0.07368	6.06689	4.53785	2.00661	-1.97	2.254	0.072	-0.107	-0.015	0.994	3.426	10.9	10.9	

11.2	-1.96846	2.25395	0.07223	6.41332	4.36115	1.86786	-1.965	2.253	0.073	-0.106	-0.022	0.994	3.241	10.9	10.9	

11.4	-1.96827	2.25343	0.07029	6.45619	4.10854	1.80539	-1.98	2.252	0.072	-0.083	-0.015	0.996	3.268	10.9	10.9	

11.6	-1.96836	2.25319	0.07052	6.87724	3.66264	1.60895	-1.97	2.253	0.07	-0.084	-0.022	0.996	3.255	10.9	10.9	

11.8	-1.96966	2.2517	0.07205	7.54694	2.90943	1.63415	-1.967	2.252	0.071	-0.104	-0.03	0.994	3.129	10.9	10.9	

12	-1.97001	2.25175	0.07265	7.12274	2.2337	1.44011	-1.969	2.251	0.072	-0.11	-0.031	0.993	3.205	10.9	10.9	

12.2	-1.97023	2.25428	0.0724	5.71764	1.78407	1.15356	-1.973	2.253	0.073	-0.107	-0.012	0.994	3.212	10.9	10.9	

12.4	-1.96974	2.253	0.07358	6.36676	2.02838	1.29795	-1.969	2.253	0.073	-0.105	-0.023	0.994	3.224	10.9	10.9	

12.6	-1.96999	2.25186	0.07445	6.95287	1.89971	1.29461	-1.967	2.252	0.074	-0.129	-0.017	0.991	3.253	10.9	10.9	

12.8	-1.97041	2.25084	0.07473	7.38606	1.6492	1.40283	-1.97	2.251	0.074	-0.126	-0.013	0.992	3.209	10.9	10.9	

13	-1.97168	2.24853	0.07438	8.60491	0.84242	1.52674	-1.97	2.248	0.074	-0.126	-0.017	0.992	3.393	10.9	10.9	

13.2	-1.97119	2.2484	0.07272	8.54325	0.88038	1.67259	-1.97	2.248	0.073	-0.109	-0.021	0.994	3.374	10.9	10.9	

13.4	-1.97079	2.24872	0.07169	8.3672	0.89135	1.59166	-1.966	2.248	0.072	-0.106	-0.024	0.994	3.231	10.9	10.9	

